Year,Month,CTI,SOI,PDO,NAO,AMO,IOD,AO,QBO,EP,CP,PNA,AAO
1858,12,-0.0557,NaN,NaN,NaN,0.13,-0.37,NaN,NaN,NaN,NaN,NaN,NaN
1859,1,-0.521,NaN,NaN,NaN,-0.126,-0.48,NaN,NaN,NaN,NaN,NaN,NaN
1859,2,0.437,NaN,NaN,NaN,-0.113,-0.4,NaN,NaN,NaN,NaN,NaN,NaN
1859,3,-0.133,NaN,NaN,NaN,0.067,-0.4,NaN,NaN,NaN,NaN,NaN,NaN
1859,4,-1.08,NaN,NaN,NaN,0.156,-0.34,NaN,NaN,NaN,NaN,NaN,NaN
1859,5,0.022,NaN,NaN,NaN,0.094,-0.09,NaN,NaN,NaN,NaN,NaN,NaN
1859,6,-0.649,NaN,NaN,NaN,-0.094,0.15,NaN,NaN,NaN,NaN,NaN,NaN
1859,7,0.33,NaN,NaN,NaN,-0.173,0.28,NaN,NaN,NaN,NaN,NaN,NaN
1859,8,1.15,NaN,NaN,NaN,0.07,0.33,NaN,NaN,NaN,NaN,NaN,NaN
1859,9,-1.14,NaN,NaN,NaN,0.087,0.24,NaN,NaN,NaN,NaN,NaN,NaN
1859,10,-0.087,NaN,NaN,NaN,0.135,0.17,NaN,NaN,NaN,NaN,NaN,NaN
1859,11,-0.262,NaN,NaN,NaN,0.067,0.23,NaN,NaN,NaN,NaN,NaN,NaN
1859,12,0.0259,NaN,NaN,NaN,0.089,0.26,NaN,NaN,NaN,NaN,NaN,NaN
1860,1,-0.613,NaN,NaN,NaN,0.122,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1860,2,-0.323,NaN,NaN,NaN,-0.105,0.08,NaN,NaN,NaN,NaN,NaN,NaN
1860,3,-0.912,NaN,NaN,NaN,0.068,-0.02,NaN,NaN,NaN,NaN,NaN,NaN
1860,4,-0.584,NaN,NaN,NaN,-0.062,-0.06,NaN,NaN,NaN,NaN,NaN,NaN
1860,5,-0.677,NaN,NaN,NaN,0.176,-0.07,NaN,NaN,NaN,NaN,NaN,NaN
1860,6,NaN,NaN,NaN,NaN,0.31,-0.14,NaN,NaN,NaN,NaN,NaN,NaN
1860,7,NaN,NaN,NaN,NaN,0.236,-0.09,NaN,NaN,NaN,NaN,NaN,NaN
1860,8,NaN,NaN,NaN,NaN,0.046,0.09,NaN,NaN,NaN,NaN,NaN,NaN
1860,9,NaN,NaN,NaN,NaN,0.002,0.18,NaN,NaN,NaN,NaN,NaN,NaN
1860,10,NaN,NaN,NaN,NaN,0.117,0.32,NaN,NaN,NaN,NaN,NaN,NaN
1860,11,-0.51,NaN,NaN,NaN,-0.001,0.37,NaN,NaN,NaN,NaN,NaN,NaN
1860,12,-0.729,NaN,NaN,NaN,0.149,-0.08,NaN,NaN,NaN,NaN,NaN,NaN
1861,1,NaN,NaN,NaN,NaN,0.008,-0.52,NaN,NaN,NaN,NaN,NaN,NaN
1861,2,NaN,NaN,NaN,NaN,-0.103,-0.24,NaN,NaN,NaN,NaN,NaN,NaN
1861,3,-0.361,NaN,NaN,NaN,0.001,0.2,NaN,NaN,NaN,NaN,NaN,NaN
1861,4,NaN,NaN,NaN,NaN,0.254,0.42,NaN,NaN,NaN,NaN,NaN,NaN
1861,5,NaN,NaN,NaN,NaN,0.201,0.57,NaN,NaN,NaN,NaN,NaN,NaN
1861,6,NaN,NaN,NaN,NaN,0.298,0.17,NaN,NaN,NaN,NaN,NaN,NaN
1861,7,1.13,NaN,NaN,NaN,0.421,-0.55,NaN,NaN,NaN,NaN,NaN,NaN
1861,8,NaN,NaN,NaN,NaN,0.309,-0.42,NaN,NaN,NaN,NaN,NaN,NaN
1861,9,-0.577,NaN,NaN,NaN,0.266,0.21,NaN,NaN,NaN,NaN,NaN,NaN
1861,10,NaN,NaN,NaN,NaN,0.221,0.18,NaN,NaN,NaN,NaN,NaN,NaN
1861,11,NaN,NaN,NaN,NaN,0.223,-0.08,NaN,NaN,NaN,NaN,NaN,NaN
1861,12,NaN,NaN,NaN,NaN,0.122,0.02,NaN,NaN,NaN,NaN,NaN,NaN
1862,1,NaN,NaN,NaN,NaN,-0.021,0.04,NaN,NaN,NaN,NaN,NaN,NaN
1862,2,NaN,NaN,NaN,NaN,-0.157,-0.04,NaN,NaN,NaN,NaN,NaN,NaN
1862,3,0.364,NaN,NaN,NaN,-0.066,0.09,NaN,NaN,NaN,NaN,NaN,NaN
1862,4,NaN,NaN,NaN,NaN,-0.12,0.14,NaN,NaN,NaN,NaN,NaN,NaN
1862,5,NaN,NaN,NaN,NaN,-0.175,0.16,NaN,NaN,NaN,NaN,NaN,NaN
1862,6,NaN,NaN,NaN,NaN,-0.038,0.4,NaN,NaN,NaN,NaN,NaN,NaN
1862,7,0.987,NaN,NaN,NaN,-0.287,0.5,NaN,NaN,NaN,NaN,NaN,NaN
1862,8,NaN,NaN,NaN,NaN,-0.261,0.28,NaN,NaN,NaN,NaN,NaN,NaN
1862,9,-0.0295,NaN,NaN,NaN,-0.25,0.07,NaN,NaN,NaN,NaN,NaN,NaN
1862,10,NaN,NaN,NaN,NaN,-0.259,-0.01,NaN,NaN,NaN,NaN,NaN,NaN
1862,11,-0.77,NaN,NaN,NaN,-0.346,-0.06,NaN,NaN,NaN,NaN,NaN,NaN
1862,12,NaN,NaN,NaN,NaN,-0.352,-0.03,NaN,NaN,NaN,NaN,NaN,NaN
1863,1,NaN,NaN,NaN,NaN,-0.14,0.07,NaN,NaN,NaN,NaN,NaN,NaN
1863,2,NaN,NaN,NaN,NaN,-0.038,0.12,NaN,NaN,NaN,NaN,NaN,NaN
1863,3,NaN,NaN,NaN,NaN,0.034,0.1,NaN,NaN,NaN,NaN,NaN,NaN
1863,4,-0.833,NaN,NaN,NaN,0.056,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1863,5,-0.295,NaN,NaN,NaN,0.029,-0.14,NaN,NaN,NaN,NaN,NaN,NaN
1863,6,NaN,NaN,NaN,NaN,-0.036,-0.32,NaN,NaN,NaN,NaN,NaN,NaN
1863,7,NaN,NaN,NaN,NaN,-0.288,-0.49,NaN,NaN,NaN,NaN,NaN,NaN
1863,8,NaN,NaN,NaN,NaN,-0.294,-0.6,NaN,NaN,NaN,NaN,NaN,NaN
1863,9,NaN,NaN,NaN,NaN,-0.152,-0.68,NaN,NaN,NaN,NaN,NaN,NaN
1863,10,NaN,NaN,NaN,NaN,-0.228,-0.63,NaN,NaN,NaN,NaN,NaN,NaN
1863,11,NaN,NaN,NaN,NaN,-0.172,-0.32,NaN,NaN,NaN,NaN,NaN,NaN
1863,12,NaN,NaN,NaN,NaN,-0.11,0.04,NaN,NaN,NaN,NaN,NaN,NaN
1864,1,NaN,NaN,NaN,NaN,-0.199,0.2,NaN,NaN,NaN,NaN,NaN,NaN
1864,2,NaN,NaN,NaN,NaN,-0.349,0.18,NaN,NaN,NaN,NaN,NaN,NaN
1864,3,NaN,NaN,NaN,NaN,-0.175,-0.1,NaN,NaN,NaN,NaN,NaN,NaN
1864,4,NaN,NaN,NaN,NaN,-0.029,-0.36,NaN,NaN,NaN,NaN,NaN,NaN
1864,5,NaN,NaN,NaN,NaN,0.078,-0.03,NaN,NaN,NaN,NaN,NaN,NaN
1864,6,0.141,NaN,NaN,NaN,0.121,0.42,NaN,NaN,NaN,NaN,NaN,NaN
1864,7,NaN,NaN,NaN,NaN,0.267,0.18,NaN,NaN,NaN,NaN,NaN,NaN
1864,8,2,NaN,NaN,NaN,0.353,-0.16,NaN,NaN,NaN,NaN,NaN,NaN
1864,9,NaN,NaN,NaN,NaN,0.201,-0.02,NaN,NaN,NaN,NaN,NaN,NaN
1864,10,NaN,NaN,NaN,NaN,0.131,0.08,NaN,NaN,NaN,NaN,NaN,NaN
1864,11,1.62,NaN,NaN,NaN,0.193,0.06,NaN,NaN,NaN,NaN,NaN,NaN
1864,12,NaN,NaN,NaN,NaN,0.194,0.13,NaN,NaN,NaN,NaN,NaN,NaN
1865,1,NaN,NaN,NaN,-0.5,0.194,-0.21,NaN,NaN,NaN,NaN,NaN,NaN
1865,2,NaN,NaN,NaN,-1.6,0.254,-0.7,NaN,NaN,NaN,NaN,NaN,NaN
1865,3,NaN,NaN,NaN,0,0.167,-0.55,NaN,NaN,NaN,NaN,NaN,NaN
1865,4,NaN,NaN,NaN,0,0.063,-0.28,NaN,NaN,NaN,NaN,NaN,NaN
1865,5,NaN,NaN,NaN,0.1,0.032,-0.39,NaN,NaN,NaN,NaN,NaN,NaN
1865,6,NaN,NaN,NaN,0.1,0.202,-0.23,NaN,NaN,NaN,NaN,NaN,NaN
1865,7,NaN,NaN,NaN,0,0.124,0.13,NaN,NaN,NaN,NaN,NaN,NaN
1865,8,NaN,NaN,NaN,1.3,0.044,0.12,NaN,NaN,NaN,NaN,NaN,NaN
1865,9,NaN,NaN,NaN,3.1,0.287,0.15,NaN,NaN,NaN,NaN,NaN,NaN
1865,10,NaN,NaN,NaN,-3.2,0.254,0.42,NaN,NaN,NaN,NaN,NaN,NaN
1865,11,0.00836,NaN,NaN,-0.9,0.218,0.46,NaN,NaN,NaN,NaN,NaN,NaN
1865,12,NaN,NaN,NaN,1.5,0.218,0.52,NaN,NaN,NaN,NaN,NaN,NaN
1866,1,NaN,-0.62,NaN,0.8,0.052,0.78,NaN,NaN,NaN,NaN,NaN,NaN
1866,2,NaN,-0.12,NaN,0.9,0.178,0.62,NaN,NaN,NaN,NaN,NaN,NaN
1866,3,NaN,-0.62,NaN,-0.9,0.213,0.18,NaN,NaN,NaN,NaN,NaN,NaN
